Time (UTC),Latitude (deg),Longitude (deg), X (nT), Y (nT), Z (nT), Tempature (°F)
2022-06-19 16:54:32,70.230690,-148.381989,2169.90,18222.26,-64581.66,999.00
2022-06-19 16:55:42,70.230690,-148.381989,2166.71,18254.39,-64382.88,999.00
2022-06-19 16:56:52,70.230690,-148.381989,2070.48,18021.03,-64195.45,999.00
2022-06-19 16:58:02,70.230690,-148.381989,2068.03,17972.97,-64227.14,999.00
2022-06-19 16:59:12,70.230690,-148.381989,2101.74,18068.36,-64222.75,999.00
2022-06-19 17:00:22,70.230690,-148.381989,1965.05,18076.68,-63998.28,999.00
2022-06-19 17:01:32,70.230690,-148.381989,1864.12,18098.77,-64174.86,999.00
2022-06-19 17:02:42,70.230690,-148.381989,1969.20,18055.93,-64330.26,999.00
2022-06-19 17:03:52,70.230690,-148.381989,1975.95,18185.03,-64106.16,999.00
2022-06-19 17:05:02,70.230690,-148.381989,2030.46,18316.24,-64111.36,999.00
2022-06-19 17:06:12,70.230690,-148.381989,2102.56,18236.96,-64003.36,999.00
2022-06-19 17:07:22,70.230690,-148.381989,2151.20,18157.24,-63986.04,999.00
2022-06-19 17:08:32,70.230690,-148.381989,2036.66,18034.17,-64013.87,999.00
2022-06-19 17:09:42,70.230690,-148.381989,1974.83,18107.51,-64143.52,999.00
2022-06-19 17:10:52,70.230690,-148.381989,2132.92,18115.31,-63902.86,999.00
2022-06-19 17:12:02,70.230690,-148.381989,2063.72,18020.59,-63874.62,999.00
2022-06-19 17:13:12,70.230690,-148.381989,2036.69,18006.61,-63939.83,999.00
2022-06-19 17:14:22,70.230690,-148.381989,2136.03,18149.70,-64057.06,999.00
2022-06-19 17:15:32,70.230690,-148.381989,2032.53,17920.87,-63903.42,999.00
2022-06-19 17:16:42,70.230690,-148.381989,1971.11,17866.52,-63820.23,999.00
2022-06-19 17:17:52,70.230690,-148.381989,2015.16,17813.09,-63835.00,999.00
2022-06-19 17:19:02,70.230690,-148.381989,2003.10,17818.73,-63554.97,999.00
2022-06-19 17:20:12,70.230690,-148.381989,1974.63,17875.26,-63332.12,999.00
2022-06-19 17:21:22,70.230690,-148.381989,2024.67,17778.93,-63308.89,999.00
2022-06-19 17:22:32,70.230690,-148.381989,1992.20,17819.45,-63398.55,999.00
2022-06-19 17:23:42,70.230690,-148.381989,1937.20,17918.66,-63595.75,999.00
2022-06-19 17:24:52,70.230690,-148.381989,2011.36,17889.95,-63344.75,999.00
