Time (UTC),Latitude (deg),Longitude (deg), X (nT), Y (nT), Z (nT),TF (nT),TF20pt, Tempature (°F)
12/7/2021 19:06,70.230377,-148.382812,6556.47,-32032.26,-64827.35,72606.04856,72658.09516,999
12/7/2021 19:07,70.230377,-148.382812,6578.66,-31919.65,-64932.95,72652.81013,72646.01003,999
12/7/2021 19:08,70.230377,-148.382812,6601.13,-31962.6,-64998.31,72732.13196,72628.94609,999
12/7/2021 19:10,70.230377,-148.382812,6499.05,-32064.99,-64816.7,72605.82507,72627.51739,999
12/7/2021 19:11,70.230377,-148.382812,6474.92,-31985.03,-64949.73,72687.23519,72623.59204,999
12/7/2021 19:12,70.230377,-148.382812,6676.19,-32107.03,-64756.58,72586.8276,72630.03663,999
12/7/2021 19:13,70.230377,-148.382812,6697.1,-32103.68,-64944.39,72754.8707,72625.10191,999
12/7/2021 19:14,70.230377,-148.382812,6805.76,-31944.74,-65007.54,72751.39201,72620.43075,999
12/7/2021 19:15,70.230377,-148.382812,6846.59,-32005.26,-64944.8,72725.78298,72621.00835,999
12/7/2021 19:17,70.230377,-148.382812,6746.68,-32062.65,-64801.77,72614.05244,72627.79829,999
12/7/2021 19:18,70.230377,-148.382812,6756.55,-32079.47,-64689.16,72521.93313,72627.38188,999
12/7/2021 19:19,70.230377,-148.382812,6922.88,-32131.38,-64691.74,72562.89046,72623.41975,999
12/7/2021 19:20,70.230377,-148.382812,6968.47,-31951.94,-64924.38,72695.67499,72613.68616,999
12/7/2021 19:21,70.230377,-148.382812,6801.68,-31903.53,-64947.2,72678.99879,72603.50899,999
12/7/2021 19:22,70.230377,-148.382812,6768.93,-31906.44,-65083.23,72798.80599,72598.85404,999
12/7/2021 19:24,70.230377,-148.382812,6612.41,-31904.05,-64822.86,72550.64129,72605.50989,999
12/7/2021 19:25,70.230377,-148.382812,6651.87,-31907.87,-64764.96,72504.20392,72608.07817,999
12/7/2021 19:26,70.230377,-148.382812,6720.49,-31934.26,-64586.47,72362.79469,72615.15126,999
12/7/2021 19:27,70.230377,-148.382812,6686.67,-31957.27,-64771.78,72535.24761,72613.63431,999
12/7/2021 19:28,70.230377,-148.382812,6776.22,-31958.37,-64832.36,72598.13685,72619.20394,999
12/7/2021 19:29,70.230377,-148.382812,7010.35,-31978.2,-64774.59,72577.52953,72635.72225,999
12/7/2021 19:31,70.230377,-148.382812,7038.4,-31985.82,-64733.79,72547.19377,72651.72954,999
12/7/2021 19:32,70.230377,-148.382812,6997.31,-31953.05,-64603.44,72412.45895,72657.34102,999
12/7/2021 19:33,70.230377,-148.382812,6783.96,-32066.62,-64778.81,72598.79101,72652.94817,999
12/7/2021 19:34,70.230377,-148.382812,6922.99,-32020.95,-64914.97,72713.28874,72652.59213,999
12/7/2021 19:35,70.230377,-148.382812,6773.09,-32043.6,-65020.82,72803.66806,72657.02768,999
12/7/2021 19:36,70.230377,-148.382812,6815.66,-32133.69,-65063.89,72885.78075,72674.74754,999
12/7/2021 19:38,70.230377,-148.382812,6825.08,-32103.48,-64866.27,72696.96093,72696.51788,999
12/7/2021 19:39,70.230377,-148.382812,6829.71,-32009.2,-64938.02,72719.87531,72712.90522,999
12/7/2021 19:40,70.230377,-148.382812,6727.78,-32036.83,-65064.81,72835.78105,72726.82769,999
12/7/2021 19:41,70.230377,-148.382812,6748.7,-32079.35,-65076.68,72867.02909,72739.77033,999
12/7/2021 19:42,70.230377,-148.382812,6700,-32062.37,-65017.6,72802.29309,72741.33879,999
12/7/2021 19:43,70.230377,-148.382812,6627.33,-31917.83,-64864.8,72595.53467,72755.30514,999
12/7/2021 19:45,70.230377,-148.382812,6674.36,-32127.47,-64976.61,72792.04117,72765.25013,999
12/7/2021 19:46,70.230377,-148.382812,6696.55,-32168.7,-64777.79,72634.91666,72771.1895,999
12/7/2021 19:47,70.230377,-148.382812,6661.36,-32225,-64984.38,72840.88128,72776.32505,999
12/7/2021 19:48,70.230377,-148.382812,6838.59,-32095.67,-64957.76,72776.43114,72765.74038,999
12/7/2021 19:49,70.230377,-148.382812,6818.43,-32088.88,-65041.84,72846.60704,72773.02059,999
12/7/2021 19:50,70.230377,-148.382812,6782.35,-32048.67,-65083.41,72862.66381,72788.03687,999
12/7/2021 19:52,70.230377,-148.382812,6801.43,-32079.38,-65022.36,72823.43971,72787.2823,999
