Time (UTC),Latitude (deg),Longitude (deg), X (nT), Y (nT), Z (nT),TF (nT), Tempature (°F)
12/8/2021 16:21,70.230377,-148.382812,-1098.16,10008.44,-72151.45,72850.57696,999
12/8/2021 16:22,70.230377,-148.382812,-1156.17,9929.46,-72176.64,72865.61786,999
12/8/2021 16:24,70.230377,-148.382812,-1008.38,9825.84,-72225.79,72898.07064,999
12/8/2021 16:25,70.230377,-148.382812,-1129.09,9797.06,-72274.52,72944.24905,999
12/8/2021 16:26,70.230377,-148.382812,-1076.07,9802.47,-72429.12,73097.35815,999
12/8/2021 16:27,70.230377,-148.382812,-1084.29,9832.32,-72580.96,73251.93483,999
12/8/2021 16:28,70.230377,-148.382812,-1161.62,10099.95,-72422.97,73133.06321,999
12/8/2021 16:29,70.230377,-148.382812,-1026.7,9983.09,-72455.09,73146.81309,999
12/8/2021 16:31,70.230377,-148.382812,-1218.25,9876.13,-72383.91,73064.71449,999
12/8/2021 16:32,70.230377,-148.382812,-1121.83,9852.74,-72554.21,73228.7401,999
12/8/2021 16:33,70.230377,-148.382812,-1239.6,9894.67,-72800.81,73480.60315,999
12/8/2021 16:34,70.230377,-148.382812,-1086.58,9924.57,-72653.34,73336.11361,999
12/8/2021 16:35,70.230377,-148.382812,-1041.05,10017.23,-72885.51,73578.02831,999
12/8/2021 16:36,70.230377,-148.382812,-999.25,9998.17,-72800.24,73490.38609,999
12/8/2021 16:38,70.230377,-148.382812,-977.75,9915.16,-72855.71,73533.80768,999
12/8/2021 16:39,70.230377,-148.382812,-1049.38,9831.95,-72597.16,73267.4285,999
12/8/2021 16:40,70.230377,-148.382812,-969.37,9756.2,-72253.96,72916.10146,999
12/8/2021 16:41,70.230377,-148.382812,-943.39,9819.12,-72274.86,72944.91408,999
12/8/2021 16:42,70.230377,-148.382812,-1118.69,9913.73,-72726.91,73408.01692,999
12/8/2021 16:43,70.230377,-148.382812,-1236.41,10025.93,-72747.95,73445.98159,999
12/8/2021 16:45,70.230377,-148.382812,-1143.34,9925.1,-72525.82,73210.71918,999
12/8/2021 16:46,70.230377,-148.382812,-1272.11,9811.58,-72349.49,73022.83252,999
12/8/2021 16:47,70.230377,-148.382812,-871.6,9691.87,-72249.07,72901.44132,999
12/8/2021 16:48,70.230377,-148.382812,-930.3,9581.05,-72120.79,72760.36234,999
12/8/2021 16:49,70.230377,-148.382812,-882.7,9523.88,-72208.71,72839.42098,999
12/8/2021 16:50,70.230377,-148.382812,-1013.18,9557.31,-72101.38,72739.10713,999
12/8/2021 16:52,70.230377,-148.382812,-1125.11,9541.75,-72229.35,72865.56023,999
12/8/2021 16:53,70.230377,-148.382812,-1088.73,9489.37,-72465.37,73092.15639,999
12/8/2021 16:54,70.230377,-148.382812,-1100.01,9588.78,-72309.1,72950.39867,999
12/8/2021 16:55,70.230377,-148.382812,-1057,9682.47,-72236.98,72890.66301,999
12/8/2021 16:56,70.230377,-148.382812,-1007.41,9639.8,-72220.43,72867.90191,999
12/8/2021 16:57,70.230377,-148.382812,-1263.94,9629.73,-72264.7,72914.44377,999
12/8/2021 16:59,70.230377,-148.382812,-1314.92,9586.69,-72203.73,72849.24341,999
12/8/2021 17:00,70.230377,-148.382812,-1270.45,9652.77,-72444.46,73095.75772,999
12/8/2021 17:01,70.230377,-148.382812,-1190.92,9761.1,-72434.45,73098.88447,999
12/8/2021 17:02,70.230377,-148.382812,-1261.72,9792.52,-72508.46,73177.60694,999
12/8/2021 17:03,70.230377,-148.382812,-1274.41,9775.26,-72352.82,73021.30094,999
12/8/2021 17:04,70.230377,-148.382812,-1236.03,9634.44,-72386.06,73034.86761,999
12/8/2021 17:06,70.230377,-148.382812,-1097.71,9676.72,-72436.12,73087.86054,999
12/8/2021 17:07,70.230377,-148.382812,-987.13,9648.86,-72231.98,72880.27072,999
12/8/2021 17:08,70.230377,-148.382812,-1029.93,9652.19,-72301.7,72950.40336,999
12/8/2021 17:09,70.230377,-148.382812,-919.01,9718.84,-72396.79,73052.00636,999
12/8/2021 17:10,70.230377,-148.382812,-1056.56,9710.22,-72443.97,73099.47661,999
12/8/2021 17:11,70.230377,-148.382812,-1033.43,9748.57,-72353.05,73014.15232,999
12/8/2021 17:13,70.230377,-148.382812,-1098.4,9627.6,-72396.71,73042.32186,999
12/8/2021 17:14,70.230377,-148.382812,-1054.3,9741.62,-72333.91,72994.55627,999
12/8/2021 17:15,70.230377,-148.382812,-1076.49,9905.14,-72294.5,72977.84156,999
12/8/2021 17:16,70.230377,-148.382812,-1086.18,9834.3,-72298.7,72972.56515,999
12/8/2021 17:17,70.230377,-148.382812,-1176.56,9893.68,-72349.16,73031.98032,999
