Time (UTC),Latitude (deg),Longitude (deg), X (nT), Y (nT), Z (nT), Tempature (°F)
2022-07-19 14:48:11,70.230591,-148.381531,-6792.29,24208.01,-28008.98,999.00
2022-07-19 14:49:21,70.230591,-148.381531,-6574.26,24028.70,-27781.56,999.00
2022-07-19 14:50:31,70.230591,-148.381531,-6601.78,24062.05,-27588.35,999.00
2022-07-19 14:51:40,70.230591,-148.381531,-6698.65,24171.20,-27551.43,999.00
2022-07-19 14:52:51,70.230591,-148.381531,-6729.09,24093.19,-27873.97,999.00
2022-07-19 14:54:01,70.230591,-148.381531,-6783.71,24008.47,-27917.91,999.00
2022-07-19 14:55:11,70.230591,-148.381531,-6937.63,24089.65,-28088.38,999.00
2022-07-19 14:56:21,70.230591,-148.381531,-6921.02,24114.71,-28250.92,999.00
2022-07-19 14:57:31,70.230591,-148.381531,-6776.40,23901.62,-28275.98,999.00
2022-07-19 14:58:41,70.230591,-148.381531,-6735.96,23961.18,-27939.65,999.00
2022-07-19 14:59:51,70.230591,-148.381531,-6773.54,23827.25,-28056.55,999.00
2022-07-19 15:01:01,70.230591,-148.381531,-6899.94,23956.88,-28239.99,999.00
2022-07-19 15:02:11,70.230591,-148.381531,-6851.56,23806.35,-27936.69,999.00
2022-07-19 15:03:21,70.230591,-148.381531,-6751.07,23831.34,-27772.74,999.00
2022-07-19 15:04:31,70.230591,-148.381531,-6764.29,23752.67,-27574.52,999.00
2022-07-19 15:05:41,70.230591,-148.381531,-6876.66,23884.35,-27700.09,999.00
2022-07-19 15:06:51,70.230591,-148.381531,-6963.26,23887.80,-27543.94,999.00
2022-07-19 15:08:01,70.230591,-148.381531,-6889.04,23800.26,-27601.16,999.00
2022-07-19 15:09:11,70.230591,-148.381531,-6979.27,23795.46,-27693.95,999.00
2022-07-19 15:10:21,70.230591,-148.381531,-7008.25,23961.55,-27546.24,999.00
2022-07-19 15:11:31,70.230591,-148.381531,-6828.70,23838.78,-27604.92,999.00
2022-07-19 15:12:41,70.230591,-148.381531,-6922.65,23825.05,-27635.29,999.00
2022-07-19 15:13:51,70.230591,-148.381531,-6856.07,23942.17,-27533.42,999.00
2022-07-19 15:15:01,70.230591,-148.381531,-6794.27,23803.03,-27502.95,999.00
2022-07-19 15:16:11,70.230591,-148.381531,-6705.14,23855.17,-27688.73,999.00
2022-07-19 15:17:21,70.230591,-148.381531,-6846.44,23893.59,-27440.41,999.00
2022-07-19 15:18:31,70.230591,-148.381531,-6916.71,23889.95,-27581.44,999.00
2022-07-19 15:19:41,70.230591,-148.381531,-6939.11,23853.09,-27497.75,999.00
2022-07-19 15:20:51,70.230591,-148.381531,-6933.53,23901.16,-27517.11,999.00
2022-07-19 15:22:01,70.230591,-148.381531,-6998.62,23945.72,-27351.17,999.00
2022-07-19 15:23:11,70.230591,-148.381531,-6860.52,23919.78,-27577.93,999.00
2022-07-19 15:24:21,70.230591,-148.381531,-6705.83,24001.89,-27502.95,999.00
2022-07-19 15:25:31,70.230591,-148.381531,-6681.78,24013.31,-27725.24,999.00
2022-07-19 15:26:41,70.230591,-148.381531,-6787.02,24010.51,-27677.99,999.00
2022-07-19 15:27:51,70.230591,-148.381531,-6825.91,23922.45,-27627.28,999.00
2022-07-19 15:29:01,70.230591,-148.381531,-6823.07,23852.14,-27350.35,999.00
2022-07-19 15:30:11,70.230591,-148.381531,-6886.92,24005.10,-27394.31,999.00
2022-07-19 15:31:21,70.230591,-148.381531,-6806.54,24032.01,-27480.10,999.00
2022-07-19 15:32:31,70.230591,-148.381531,-6928.25,23838.81,-27670.07,999.00
2022-07-19 15:33:41,70.230591,-148.381531,-6919.68,23917.12,-27570.45,999.00
2022-07-19 15:34:51,70.230591,-148.381531,-6956.31,24024.94,-27421.01,999.00
2022-07-19 15:36:01,70.230591,-148.381531,-6889.76,24025.55,-27784.36,999.00
2022-07-19 15:37:11,70.230591,-148.381531,-6869.45,23943.65,-27584.88,999.00
2022-07-19 15:38:21,70.230591,-148.381531,-6881.63,23830.82,-27661.96,999.00
2022-07-19 15:39:31,70.230591,-148.381531,-6939.59,23993.70,-27726.28,999.00
2022-07-19 15:40:41,70.230591,-148.381531,-6719.93,23945.04,-27432.01,999.00
2022-07-19 15:41:51,70.230591,-148.381531,-6904.98,23919.09,-27348.19,999.00
2022-07-19 15:43:01,70.230591,-148.381531,-6782.19,23897.52,-27409.59,999.00
2022-07-19 15:44:11,70.230591,-148.381531,-6735.91,23821.76,-27279.97,999.00
2022-07-19 15:45:21,70.230591,-148.381531,-6812.57,23869.38,-26887.22,999.00
2022-07-19 15:46:31,70.230591,-148.381531,-6866.38,23866.63,-26934.49,999.00
2022-07-19 15:47:41,70.230591,-148.381531,-6706.38,23785.38,-26830.09,999.00
2022-07-19 15:48:51,70.230591,-148.381531,-6928.39,23907.62,-26859.45,999.00
2022-07-19 15:50:01,70.230591,-148.381531,-6912.92,23757.08,-27170.29,999.00
2022-07-19 15:51:11,70.230591,-148.381531,-6799.82,23732.82,-27234.96,999.00
2022-07-19 15:52:21,70.230591,-148.381531,-6816.18,23755.04,-27142.67,999.00
2022-07-19 15:53:31,70.230591,-148.381531,-6801.05,23819.92,-27019.88,999.00
2022-07-19 15:54:41,70.230591,-148.381531,-6907.07,23864.38,-27099.90,999.00
2022-07-19 15:55:51,70.230591,-148.381531,-6944.00,23832.05,-27088.63,999.00
2022-07-19 15:57:01,70.230591,-148.381531,-7212.83,23843.85,-27024.61,999.00
2022-07-19 15:58:11,70.230591,-148.381531,-7140.14,23702.85,-27365.03,999.00
2022-07-19 15:59:21,70.230591,-148.381531,-6926.71,23801.39,-27125.77,999.00
2022-07-19 16:00:31,70.230591,-148.381531,-6847.47,23741.32,-27239.06,999.00
2022-07-19 16:01:41,70.230591,-148.381531,-6824.77,23792.10,-27097.49,999.00
2022-07-19 16:02:51,70.230591,-148.381531,-6765.61,23919.67,-27096.26,999.00
2022-07-19 16:04:01,70.230591,-148.381531,-6816.12,24015.71,-27005.28,999.00
2022-07-19 16:05:11,70.230591,-148.381531,-6857.85,23853.85,-26989.17,999.00
2022-07-19 16:06:21,70.230591,-148.381531,-6939.27,23791.56,-26924.50,999.00
2022-07-19 16:07:31,70.230591,-148.381531,-6855.35,24037.06,-27090.51,999.00
2022-07-19 16:08:41,70.230591,-148.381531,-6975.79,23868.45,-27240.03,999.00
2022-07-19 16:09:51,70.230591,-148.381531,-7060.93,23631.74,-27227.73,999.00
2022-07-19 16:11:01,70.230591,-148.381531,-6895.60,23690.27,-27202.63,999.00
2022-07-19 16:12:11,70.230591,-148.381531,-6948.61,23666.07,-27292.08,999.00
2022-07-19 16:13:21,70.230591,-148.381531,-6727.05,23695.89,-27077.16,999.00
2022-07-19 16:14:31,70.230591,-148.381531,-6895.32,23793.85,-27254.65,999.00
2022-07-19 16:15:41,70.230591,-148.381531,-6930.04,23783.46,-27120.75,999.00
2022-07-19 16:16:51,70.230591,-148.381531,-6735.40,23878.27,-27279.96,999.00
2022-07-19 16:18:01,70.230591,-148.381531,-6755.73,23796.99,-26878.31,999.00
2022-07-19 16:19:11,70.230591,-148.381531,-6945.54,23898.25,-27112.19,999.00
2022-07-19 16:20:21,70.230591,-148.381531,-6970.54,23706.31,-27002.14,999.00
2022-07-19 16:21:31,70.230591,-148.381531,-6620.99,23560.90,-27112.35,999.00
2022-07-19 16:22:41,70.230591,-148.381531,-6656.16,23823.07,-26862.16,999.00
2022-07-19 16:23:51,70.230591,-148.381531,-6602.44,23983.47,-26815.45,999.00
2022-07-19 16:25:01,70.230591,-148.381531,-6584.42,24050.66,-26912.19,999.00
2022-07-19 16:26:11,70.230591,-148.381531,-6663.59,24090.94,-26988.56,999.00
2022-07-19 16:27:21,70.230591,-148.381531,-6796.39,24083.45,-27169.58,999.00
2022-07-19 16:28:31,70.230591,-148.381531,-6534.59,24035.16,-27072.66,999.00
2022-07-19 16:29:41,70.230591,-148.381531,-6629.59,23978.34,-27339.74,999.00
2022-07-19 16:30:51,70.230591,-148.381531,-6871.73,23908.28,-26988.83,999.00
2022-07-19 16:32:01,70.230591,-148.381531,-6817.81,23972.08,-26976.82,999.00
2022-07-19 16:33:11,70.230591,-148.381531,-6912.48,23956.37,-27044.95,999.00
2022-07-19 16:34:21,70.230591,-148.381531,-6717.65,23959.96,-27106.42,999.00
2022-07-19 16:35:31,70.230591,-148.381531,-6938.92,24112.48,-26886.40,999.00
2022-07-19 16:36:41,70.230591,-148.381531,-6989.06,24103.44,-26849.02,999.00
2022-07-19 16:37:51,70.230591,-148.381531,-6920.49,24083.83,-27032.06,999.00
2022-07-19 16:39:01,70.230591,-148.381531,-6917.45,24083.29,-26986.15,999.00
2022-07-19 16:40:11,70.230591,-148.381531,-7027.81,24099.02,-27085.42,999.00
2022-07-19 16:41:21,70.230591,-148.381531,-6977.89,23972.38,-26881.15,999.00
2022-07-19 16:42:31,70.230591,-148.381531,-6895.17,23998.05,-26761.86,999.00
2022-07-19 16:43:41,70.230591,-148.381531,-6894.26,23974.03,-26843.37,999.00
2022-07-19 16:44:51,70.230591,-148.381531,-6991.03,24047.93,-26769.00,999.00
2022-07-19 16:46:01,70.230591,-148.381531,-7074.76,24287.03,-26651.51,999.00
2022-07-19 16:47:11,70.230591,-148.381531,-7179.97,24090.10,-26565.50,999.00
2022-07-19 16:48:21,70.230591,-148.381531,-7042.17,24169.07,-26426.38,999.00
2022-07-19 16:49:31,70.230591,-148.381531,-6946.13,24128.44,-26742.31,999.00
2022-07-19 16:50:41,70.230591,-148.381531,-6999.10,23881.93,-26578.21,999.00
2022-07-19 16:51:51,70.230591,-148.381531,-7010.71,23935.06,-26713.86,999.00
2022-07-19 16:53:01,70.230591,-148.381531,-7025.29,23953.55,-26553.46,999.00
2022-07-19 16:54:11,70.230591,-148.381531,-6991.70,24046.08,-26678.57,999.00
2022-07-19 16:55:21,70.230591,-148.381531,-6932.49,24081.99,-26886.88,999.00
2022-07-19 16:56:31,70.230591,-148.381531,-6885.56,23987.10,-26908.06,999.00
2022-07-19 16:57:41,70.230591,-148.381531,-7036.85,24010.47,-26789.65,999.00
2022-07-19 16:58:51,70.230591,-148.381531,-6899.34,23967.86,-26578.39,999.00
2022-07-19 17:00:01,70.230591,-148.381531,-6977.78,24043.82,-26738.45,999.00
2022-07-19 17:01:11,70.230591,-148.381531,-7159.72,24023.34,-26730.78,999.00
2022-07-19 17:02:21,70.230591,-148.381531,-7156.96,24083.65,-26662.85,999.00
2022-07-19 17:03:31,70.230591,-148.381531,-7127.52,24202.24,-26628.85,999.00
2022-07-19 17:04:41,70.230591,-148.381531,-7175.31,24105.15,-26754.72,999.00
2022-07-19 17:05:51,70.230591,-148.381531,-7305.24,24154.90,-26574.74,999.00
2022-07-19 17:07:01,70.230591,-148.381531,-7273.20,24039.41,-26458.27,999.00
2022-07-19 17:08:11,70.230591,-148.381531,-7276.64,23994.42,-26304.43,999.00
2022-07-19 17:09:21,70.230591,-148.381531,-7289.27,23855.05,-26446.59,999.00
2022-07-19 17:10:31,70.230591,-148.381531,-7257.72,23839.69,-26341.49,999.00
2022-07-19 17:11:41,70.230591,-148.381531,-7120.90,23728.07,-26406.75,999.00
2022-07-19 17:12:51,70.230591,-148.381531,-7036.00,23714.73,-26376.08,999.00
2022-07-19 17:14:01,70.230591,-148.381531,-6895.47,23857.48,-26218.29,999.00
2022-07-19 17:15:11,70.230591,-148.381531,-7060.74,23968.12,-26282.82,999.00
2022-07-19 17:16:21,70.230591,-148.381531,-7062.87,23956.56,-26360.15,999.00
2022-07-19 17:17:31,70.230591,-148.381531,-6892.59,23903.63,-26228.63,999.00
2022-07-19 17:18:41,70.230591,-148.381531,-6957.13,23878.88,-26036.07,999.00
2022-07-19 17:19:51,70.230591,-148.381531,-6974.22,24049.10,-26220.08,999.00
2022-07-19 17:21:01,70.230591,-148.381531,-6947.94,24113.09,-26068.01,999.00
2022-07-19 17:22:11,70.230591,-148.381531,-6787.48,24056.23,-26111.95,999.00
2022-07-19 17:23:21,70.230591,-148.381531,-6862.64,24041.86,-26243.58,999.00
2022-07-19 17:24:31,70.230591,-148.381531,-6850.31,23946.67,-26361.04,999.00
2022-07-19 17:25:41,70.230591,-148.381531,-6891.63,24063.00,-26501.84,999.00
2022-07-19 17:26:51,70.230591,-148.381531,-6935.06,23989.14,-26130.14,999.00
2022-07-19 17:28:01,70.230591,-148.381531,-7215.94,23856.43,-26028.60,999.00
2022-07-19 17:29:11,70.230591,-148.381531,-7078.41,23825.66,-26069.60,999.00
2022-07-19 17:30:21,70.230591,-148.381531,-6943.65,23802.28,-26129.22,999.00
2022-07-19 17:31:31,70.230591,-148.381531,-7167.37,23727.23,-26097.99,999.00
2022-07-19 17:32:41,70.230591,-148.381531,-6952.56,23783.32,-26236.32,999.00
2022-07-19 17:33:51,70.230591,-148.381531,-7101.41,23779.46,-26050.24,999.00
2022-07-19 17:35:01,70.230591,-148.381531,-7030.40,23964.51,-26254.14,999.00
2022-07-19 17:36:11,70.230591,-148.381531,-6917.84,23834.79,-26089.35,999.00
2022-07-19 17:37:21,70.230591,-148.381531,-7088.02,23717.04,-26359.56,999.00
2022-07-19 17:38:31,70.230591,-148.381531,-7092.48,23654.80,-26354.19,999.00
2022-07-19 17:39:41,70.230591,-148.381531,-6937.01,23552.88,-26251.61,999.00
2022-07-19 17:40:51,70.230591,-148.381531,-6849.33,23482.72,-26153.23,999.00
2022-07-19 17:42:01,70.230591,-148.381531,-6987.98,23745.34,-26290.06,999.00
2022-07-19 17:43:11,70.230591,-148.381531,-6957.50,23910.66,-26435.19,999.00
2022-07-19 17:44:21,70.230591,-148.381531,-7024.02,23903.08,-26416.85,999.00
2022-07-19 17:45:31,70.230591,-148.381531,-6899.08,23968.89,-26152.05,999.00
2022-07-19 17:46:41,70.230591,-148.381531,-6878.78,23864.28,-26134.01,999.00
2022-07-19 17:47:51,70.230591,-148.381531,-6826.94,23647.89,-26279.96,999.00
2022-07-19 17:49:01,70.230591,-148.381531,-6982.13,23662.19,-26318.56,999.00
2022-07-19 17:50:11,70.230591,-148.381531,-6962.89,23691.93,-26296.52,999.00
2022-07-19 17:51:21,70.230591,-148.381531,-6955.92,23762.33,-26265.10,999.00
2022-07-19 17:52:31,70.230591,-148.381531,-7078.44,23647.74,-26016.49,999.00
2022-07-19 17:53:41,70.230591,-148.381531,-7046.08,23623.13,-25857.88,999.00
2022-07-19 17:54:51,70.230591,-148.381531,-7122.31,23516.64,-25763.61,999.00
2022-07-19 17:56:01,70.230591,-148.381531,-7064.62,23538.53,-26094.52,999.00
2022-07-19 17:57:11,70.230591,-148.381531,-7082.67,23537.16,-25813.19,999.00
2022-07-19 17:58:21,70.230591,-148.381531,-6897.46,23600.84,-25728.01,999.00
2022-07-19 17:59:31,70.230591,-148.381531,-7084.43,23632.38,-25933.95,999.00
2022-07-19 18:00:41,70.230591,-148.381531,-7082.30,23610.44,-25879.94,999.00
2022-07-19 18:01:51,70.230591,-148.381531,-7134.99,23656.75,-25645.82,999.00
2022-07-19 18:03:01,70.230591,-148.381531,-7326.61,23598.00,-25694.68,999.00
2022-07-19 18:04:11,70.230591,-148.381531,-7239.13,23629.48,-25387.66,999.00
2022-07-19 18:05:21,70.230591,-148.381531,-7180.04,23766.37,-25356.69,999.00
2022-07-19 18:06:31,70.230591,-148.381531,-7077.08,23612.40,-25609.43,999.00
2022-07-19 18:07:41,70.230591,-148.381531,-7071.28,23629.70,-25756.09,999.00
2022-07-19 18:08:51,70.230591,-148.381531,-7015.59,23713.76,-25271.79,999.00
2022-07-19 18:10:01,70.230591,-148.381531,-7146.50,23697.23,-25030.58,999.00
2022-07-19 18:11:11,70.230591,-148.381531,-7182.33,23767.61,-25349.06,999.00
2022-07-19 18:12:21,70.230591,-148.381531,-7074.39,23603.43,-25366.87,999.00
2022-07-19 18:13:31,70.230591,-148.381531,-7116.19,23581.18,-25162.87,999.00
2022-07-19 18:14:41,70.230591,-148.381531,-7103.04,23691.07,-25441.09,999.00
