Time (UTC),Latitude (deg),Longitude (deg), Total Field (nT), Horizontal Component (nT), Vertical Component (nT)
2022-06-16 19:33:52,40.188515,-105.500175,52855.17,20921.69,48538.15
2022-06-16 19:34:02,40.188511,-105.500175,52804.56,19581.66,49039.58
2022-06-16 19:34:12,40.188507,-105.500145,53442.67,21145.95,49081.24
2022-06-16 19:34:22,40.188507,-105.500130,52494.95,20449.49,48348.10
2022-06-16 19:34:32,40.188511,-105.500130,52711.23,21006.18,48344.75
2022-06-16 19:34:42,40.188515,-105.500084,52602.82,20129.76,48598.87
2022-06-16 19:34:52,40.188511,-105.500084,52338.62,20381.87,48206.96
2022-06-16 19:35:03,40.188511,-105.500053,52292.84,20292.02,48195.18
2022-06-16 19:35:22,40.188515,-105.500046,52090.54,20169.68,48027.16
2022-06-16 19:35:32,40.188526,-105.500038,52064.04,20442.64,47882.80
2022-06-16 19:35:42,40.188519,-105.500038,52526.35,20407.08,48400.09
2022-06-16 19:35:52,40.188511,-105.500046,52483.99,20189.84,48445.23
2022-06-16 19:36:02,40.188511,-105.500000,52666.18,20305.69,48594.30
2022-06-16 19:36:13,40.188511,-105.500000,52628.45,20125.76,48628.27
2022-06-16 19:36:23,40.188515,-105.499977,52851.96,22154.54,47984.44
2022-06-16 19:36:33,40.188511,-105.499954,52745.69,21190.97,48301.66
2022-06-16 19:36:43,40.188515,-105.499916,52784.52,20268.24,48738.11
2022-06-16 19:36:53,40.188511,-105.499886,52621.32,19711.50,48789.96
2022-06-16 19:37:03,40.188515,-105.499886,52899.31,20446.96,48787.89
2022-06-16 19:37:13,40.188511,-105.499886,52627.99,20454.74,48490.30
2022-06-16 19:37:23,40.188503,-105.499840,52654.23,20604.49,48455.38
2022-06-16 19:37:32,40.188511,-105.499840,52885.45,20830.87,48610.14
2022-06-16 19:37:42,40.188519,-105.499779,52432.65,21064.71,48015.22
2022-06-16 19:37:52,40.188507,-105.499779,52058.33,20259.22,47954.49
2022-06-16 19:38:02,40.188519,-105.499733,53210.12,20912.03,48928.56
2022-06-16 19:38:12,40.188519,-105.499733,52520.35,21077.77,48105.25
2022-06-16 19:38:22,40.188522,-105.499680,52723.45,20553.23,48552.31
2022-06-16 19:38:32,40.188526,-105.499672,52472.51,20779.45,48182.76
2022-06-16 19:38:42,40.188534,-105.499619,52888.05,20398.75,48795.87
2022-06-16 19:38:53,40.188526,-105.499611,52563.67,20739.12,48299.36
2022-06-16 19:39:03,40.188538,-105.499565,52616.33,21793.35,47890.79
2022-06-16 19:39:13,40.188541,-105.499565,52672.85,21063.05,48278.12
2022-06-16 19:39:23,40.188549,-105.499512,52611.29,21611.75,47967.50
2022-06-16 19:39:33,40.188541,-105.499512,52624.29,20523.02,48457.42
2022-06-16 19:39:43,40.188549,-105.499489,52764.66,21664.77,48111.82
2022-06-16 19:39:53,40.188553,-105.499458,52969.95,20925.73,48661.38
2022-06-16 19:40:03,40.188557,-105.499451,52842.04,21688.90,48185.81
2022-06-16 19:40:13,40.188557,-105.499405,52642.87,21108.52,48225.54
2022-06-16 19:40:23,40.188560,-105.499397,52853.11,21469.06,48296.29
2022-06-16 19:40:33,40.188564,-105.499359,52111.47,20481.86,47917.62
2022-06-16 19:40:43,40.188564,-105.499336,52195.32,19922.89,48243.45
2022-06-16 19:40:53,40.188564,-105.499313,52351.99,20190.76,48301.80
2022-06-16 19:41:03,40.188560,-105.499313,52323.57,20357.16,48201.06
2022-06-16 19:41:13,40.188557,-105.499313,52260.61,20191.43,48202.46
2022-06-16 19:41:23,40.188560,-105.499321,52547.13,20564.64,48355.94
2022-06-16 19:41:33,40.188560,-105.499313,52547.36,20368.56,48439.11
2022-06-16 19:41:43,40.188560,-105.499313,52168.00,19845.79,48245.67
2022-06-16 19:41:53,40.188560,-105.499260,52084.23,20343.63,47946.88
2022-06-16 19:42:03,40.188560,-105.499252,52270.91,20278.80,48176.95
2022-06-16 19:42:13,40.188564,-105.499199,52331.76,20245.58,48256.91
2022-06-16 19:42:23,40.188557,-105.499191,52437.40,20075.88,48442.13
2022-06-16 19:42:33,40.188564,-105.499184,52384.49,20387.83,48254.23
2022-06-16 19:42:43,40.188568,-105.499146,52575.89,20798.51,48287.12
2022-06-16 19:42:53,40.188572,-105.499138,52365.26,20250.05,48291.36
2022-06-16 19:43:03,40.188591,-105.499130,52448.61,20966.43,48075.62
2022-06-16 19:43:13,40.188587,-105.499092,52675.73,20467.19,48536.86
2022-06-16 19:43:23,40.188583,-105.499077,52422.86,20863.54,48092.29
2022-06-16 19:43:33,40.188583,-105.499039,52182.93,19424.70,48432.84
2022-06-16 19:43:43,40.188580,-105.499031,52362.95,20376.61,48235.60
2022-06-16 19:43:53,40.188580,-105.499001,52349.92,20813.84,48034.35
2022-06-16 19:44:03,40.188583,-105.498978,52510.17,21420.85,47942.31
2022-06-16 19:44:13,40.188587,-105.498962,52642.13,20882.82,48322.89
2022-06-16 19:44:23,40.188591,-105.498940,52572.64,20262.53,48510.96
2022-06-16 19:44:33,40.188595,-105.498917,52520.95,21201.40,48051.55
2022-06-16 19:44:43,40.188591,-105.498886,52836.77,20494.48,48700.11
2022-06-16 19:44:53,40.188583,-105.498848,52264.62,21005.39,47857.75
2022-06-16 19:45:03,40.188580,-105.498825,52389.02,20718.56,48118.09
2022-06-16 19:45:13,40.188591,-105.498779,52772.76,21493.95,48197.24
2022-06-16 19:45:23,40.188595,-105.498756,52126.49,20113.74,48089.59
2022-06-16 19:45:33,40.188599,-105.498726,52086.45,20948.97,47687.93
2022-06-16 19:45:43,40.188599,-105.498734,51732.93,20298.62,47584.27
2022-06-16 19:45:52,40.188599,-105.498711,52110.70,20206.00,48033.77
