Time (UTC),Latitude (deg),Longitude (deg), Total Field (nT), Horizontal Component (nT), Vertical Component (nT)
2022-03-11 18:42:18,61.449135,-149.370758,54554.73,16378.35,52038.14
2022-03-11 18:42:28,61.449135,-149.370758,54549.70,16558.06,51975.96
2022-03-11 18:42:38,61.449135,-149.370758,54515.78,16622.98,51919.62
2022-03-11 18:42:48,61.449127,-149.370758,54969.95,16396.33,52467.66
2022-03-11 18:42:58,61.449127,-149.370758,54667.39,16392.74,52151.71
2022-03-11 18:43:08,61.449135,-149.370773,55246.36,16347.03,52772.48
2022-03-11 18:43:18,61.449131,-149.370773,54899.19,15754.10,52590.21
2022-03-11 18:43:28,61.449131,-149.370758,54750.18,15459.94,52522.12
2022-03-11 18:43:38,61.449112,-149.370636,55995.73,17457.80,53204.76
2022-03-11 18:43:48,61.449081,-149.370529,56211.45,17328.88,53473.70
2022-03-11 18:43:58,61.449017,-149.370361,55814.89,15788.58,53535.25
2022-03-11 18:44:08,61.448933,-149.370316,55830.10,15569.05,53615.34
2022-03-11 18:44:18,61.448841,-149.370300,55875.85,14844.88,53867.80
2022-03-11 18:44:28,61.448719,-149.370346,56596.28,16170.81,54236.93
2022-03-11 18:44:38,61.448647,-149.370300,56242.13,16575.15,53744.22
2022-03-11 18:44:48,61.448559,-149.370209,56681.05,16015.33,54371.42
2022-03-11 18:44:58,61.448502,-149.370193,56823.59,16868.16,54262.20
2022-03-11 18:45:08,61.448399,-149.370117,56654.81,16665.88,54148.10
2022-03-11 18:45:18,61.448318,-149.370102,56074.31,16340.66,53640.57
2022-03-11 18:45:28,61.448219,-149.370132,56481.84,16269.04,54088.04
2022-03-11 18:45:38,61.448166,-149.370163,56569.49,15908.77,54286.45
2022-03-11 18:45:48,61.448086,-149.370117,56301.58,16149.21,53935.80
2022-03-11 18:45:58,61.448009,-149.370132,56272.82,16745.78,53723.46
2022-03-11 18:46:08,61.447933,-149.370102,56577.33,16259.27,54190.68
2022-03-11 18:46:18,61.447857,-149.370087,56480.92,16462.17,54028.61
2022-03-11 18:46:28,61.447781,-149.370102,56274.21,15986.41,53955.73
2022-03-11 18:46:38,61.447697,-149.370132,56474.01,15314.21,54357.96
2022-03-11 18:46:48,61.447628,-149.370193,56739.11,14975.46,54727.16
2022-03-11 18:46:58,61.447559,-149.370255,56739.87,15047.57,54708.17
2022-03-11 18:47:08,61.447495,-149.370270,57260.46,15324.32,55171.78
2022-03-11 18:47:18,61.447437,-149.370270,57467.70,16231.39,55127.84
2022-03-11 18:47:28,61.447376,-149.370270,56742.75,14751.50,54791.72
2022-03-11 18:47:38,61.447300,-149.370316,57385.46,14909.71,55414.73
2022-03-11 18:47:48,61.447224,-149.370361,57192.27,15383.46,55084.52
2022-03-11 18:47:58,61.447128,-149.370331,57375.35,14767.08,55442.44
2022-03-11 18:48:08,61.447021,-149.370270,57416.65,15763.96,55210.23
2022-03-11 18:48:18,61.446922,-149.370193,57152.22,15909.81,54893.12
2022-03-11 18:48:28,61.446831,-149.370163,57332.44,16711.36,54842.86
2022-03-11 18:48:38,61.446720,-149.370117,56971.73,16051.81,54663.68
2022-03-11 18:48:48,61.446625,-149.370132,56791.91,14421.32,54930.38
2022-03-11 18:48:58,61.446522,-149.370132,56591.27,16267.11,54202.88
2022-03-11 18:49:08,61.446449,-149.370071,56664.13,16633.18,54167.90
2022-03-11 18:49:18,61.446377,-149.369995,56929.31,16458.28,54498.36
2022-03-11 18:49:28,61.446301,-149.369904,57158.30,15976.22,54880.16
2022-03-11 18:49:38,61.446201,-149.369843,56776.37,15974.84,54482.66
2022-03-11 18:49:48,61.446125,-149.369751,56923.57,16839.09,54375.89
2022-03-11 18:49:58,61.446045,-149.369720,56637.75,15970.75,54339.39
2022-03-11 18:50:08,61.445950,-149.369690,56869.65,16475.62,54430.80
2022-03-11 18:50:18,61.445892,-149.369598,56715.11,16410.91,54288.91
2022-03-11 18:50:28,61.445816,-149.369507,56575.38,16628.47,54076.49
2022-03-11 18:50:38,61.445751,-149.369415,56697.07,16401.27,54272.98
2022-03-11 18:50:48,61.445702,-149.369293,56590.02,17268.35,53890.95
2022-03-11 18:50:58,61.445686,-149.369141,56657.50,16851.29,54093.50
2022-03-11 18:51:08,61.445656,-149.368942,56439.29,16718.31,53906.33
2022-03-11 18:51:18,61.445618,-149.368774,56608.00,16667.87,54098.50
2022-03-11 18:51:28,61.445576,-149.368637,56691.88,17077.62,54058.53
2022-03-11 18:51:38,61.445557,-149.368484,56376.68,16658.47,53859.32
2022-03-11 18:51:48,61.445568,-149.368393,56519.96,17236.77,53827.50
2022-03-11 18:51:58,61.445595,-149.368225,56441.31,16348.50,54021.73
2022-03-11 18:52:08,61.445633,-149.368088,56686.96,16882.90,54114.51
2022-03-11 18:52:18,61.445675,-149.367905,56590.30,16077.21,54258.50
2022-03-11 18:52:28,61.445705,-149.367752,56582.87,16891.91,54002.63
2022-03-11 18:52:38,61.445709,-149.367584,56461.91,16699.32,53935.89
2022-03-11 18:52:48,61.445728,-149.367401,56731.07,17038.57,54111.94
2022-03-11 18:52:58,61.445755,-149.367233,56699.30,16831.99,54143.28
2022-03-11 18:53:08,61.445763,-149.367035,56740.67,16406.68,54316.89
2022-03-11 18:53:18,61.445778,-149.366867,56994.89,17656.17,54191.12
2022-03-11 18:53:28,61.445778,-149.366699,56592.45,16271.46,54202.81
2022-03-11 18:53:38,61.445759,-149.366547,57096.84,17424.51,54373.11
2022-03-11 18:53:48,61.445744,-149.366364,56911.79,16798.84,54376.01
2022-03-11 18:53:58,61.445705,-149.366211,56549.27,16447.80,54104.44
2022-03-11 18:54:08,61.445683,-149.366028,56559.71,16843.50,53993.50
2022-03-11 18:54:18,61.445637,-149.365860,56778.90,16121.64,54442.04
2022-03-11 18:54:28,61.445656,-149.365768,56685.57,16545.54,54217.14
2022-03-11 18:54:38,61.445648,-149.365768,55073.67,15276.84,52912.45
