Time (UTC),Latitude (deg),Longitude (deg), X (nT), Y (nT), Z (nT), Tempature (°F)
2021-12-17 21:32:24,70.230614,-148.381897,-15902.57,36814.99,-80008.29,999.00
2021-12-17 21:33:34,70.230614,-148.381897,-15876.20,36725.00,-79671.18,999.00
2021-12-17 21:34:44,70.230614,-148.381897,-15888.81,36769.02,-79638.45,999.00
2021-12-17 21:35:54,70.230614,-148.381897,-15823.30,36743.99,-79928.54,999.00
2021-12-17 21:37:04,70.230614,-148.381897,-15844.15,36705.54,-79635.55,999.00
2021-12-17 21:38:14,70.230614,-148.381897,-15850.77,36875.77,-79689.42,999.00
2021-12-17 21:39:24,70.230614,-148.381897,-15899.24,36748.38,-79676.91,999.00
2021-12-17 21:40:34,70.230614,-148.381897,-15709.33,36789.12,-79776.28,999.00
2021-12-17 21:41:44,70.230614,-148.381897,-15657.04,36802.39,-80019.38,999.00
2021-12-17 21:42:54,70.230614,-148.381897,-15638.67,36746.84,-79952.49,999.00
2021-12-17 21:44:04,70.230614,-148.381897,-15834.27,36775.32,-79728.16,999.00
2021-12-17 21:45:14,70.230614,-148.381897,-15869.45,36754.37,-79915.88,999.00
2021-12-17 21:46:24,70.230614,-148.381897,-15774.51,36783.13,-79836.57,999.00
2021-12-17 21:47:34,70.230614,-148.381897,-15760.70,36720.96,-79902.62,999.00
2021-12-17 21:48:44,70.230614,-148.381897,-15754.54,36670.26,-79755.23,999.00
2021-12-17 21:49:54,70.230614,-148.381897,-15861.19,36729.63,-79586.16,999.00
2021-12-17 21:51:04,70.230614,-148.381897,-15883.92,36720.77,-79619.37,999.00
2021-12-17 21:52:14,70.230614,-148.381897,-15820.43,36829.64,-79805.11,999.00
2021-12-17 21:53:24,70.230614,-148.381897,-15836.79,36613.14,-79740.84,999.00
2021-12-17 21:54:34,70.230614,-148.381897,-15757.78,36702.64,-79819.74,999.00
2021-12-17 21:55:44,70.230614,-148.381897,-15688.27,36780.76,-79742.62,999.00
2021-12-17 21:56:54,70.230614,-148.381897,-15778.38,36812.11,-79394.46,999.00
2021-12-17 21:58:04,70.230614,-148.381897,-15769.35,36814.00,-79824.66,999.00
2021-12-17 21:59:14,70.230614,-148.381897,-15695.74,36869.81,-79850.26,999.00
2021-12-17 22:00:24,70.230614,-148.381897,-15700.45,36887.82,-79752.84,999.00
2021-12-17 22:01:34,70.230614,-148.381897,-15807.11,36851.75,-79691.04,999.00
2021-12-17 22:02:44,70.230614,-148.381897,-15802.47,36889.56,-79843.44,999.00
2021-12-17 22:03:54,70.230614,-148.381897,-15735.41,36958.37,-79974.12,999.00
2021-12-17 22:05:04,70.230614,-148.381897,-15804.10,37159.59,-80008.87,999.00
2021-12-17 22:06:14,70.230614,-148.381897,-15711.01,37006.22,-79890.76,999.00
2021-12-17 22:07:24,70.230614,-148.381897,-15849.47,36854.26,-79944.41,999.00
2021-12-17 22:08:34,70.230614,-148.381897,-15890.24,36855.94,-79737.77,999.00
2021-12-17 22:09:44,70.230614,-148.381897,-15833.79,36872.49,-79686.66,999.00
2021-12-17 22:10:54,70.230614,-148.381897,-15769.39,36766.56,-79984.18,999.00
2021-12-17 22:12:04,70.230614,-148.381897,-15789.73,36955.18,-79710.44,999.00
2021-12-17 22:13:14,70.230614,-148.381897,-15727.94,36733.16,-79556.13,999.00
2021-12-17 22:14:24,70.230614,-148.381897,-15866.75,36800.26,-79811.14,999.00
2021-12-17 22:15:34,70.230614,-148.381897,-15978.06,36696.78,-79934.52,999.00
2021-12-17 22:16:44,70.230614,-148.381897,-15877.64,36827.77,-80174.15,999.00
2021-12-17 22:17:54,70.230614,-148.381897,-15811.33,36815.06,-79786.26,999.00
2021-12-17 22:19:04,70.230614,-148.381897,-15823.62,36910.37,-79689.35,999.00
2021-12-17 22:20:14,70.230614,-148.381897,-15710.30,36703.83,-79673.74,999.00
2021-12-17 22:21:24,70.230614,-148.381897,-15787.23,36854.12,-79473.25,999.00
2021-12-17 22:22:34,70.230614,-148.381897,-15733.03,36794.04,-79661.41,999.00
2021-12-17 22:23:44,70.230614,-148.381897,-15635.57,36907.99,-79649.35,999.00
2021-12-17 22:24:54,70.230614,-148.381897,-15717.54,36986.87,-79731.05,999.00
2021-12-17 22:26:04,70.230614,-148.381897,-15779.21,36876.04,-79717.28,999.00
2021-12-17 22:27:14,70.230614,-148.381897,-15816.83,36833.94,-79945.09,999.00
2021-12-17 22:28:24,70.230614,-148.381897,-15826.93,36800.41,-80071.91,999.00
2021-12-17 22:29:34,70.230614,-148.381897,-15843.81,36913.95,-79852.77,999.00
2021-12-17 22:30:44,70.230614,-148.381897,-15841.36,37016.79,-79760.07,999.00
2021-12-17 22:31:54,70.230614,-148.381897,-15754.24,36851.71,-79657.62,999.00
2021-12-17 22:33:04,70.230614,-148.381897,-15853.25,36888.07,-79784.32,999.00
2021-12-17 22:34:14,70.230614,-148.381897,-15706.58,36930.45,-79907.38,999.00
2021-12-17 22:35:24,70.230614,-148.381897,-15777.22,37017.81,-79733.55,999.00
2021-12-17 22:36:34,70.230614,-148.381897,-15955.04,36874.57,-79857.59,999.00
2021-12-17 22:37:44,70.230614,-148.381897,-15843.37,36839.19,-79730.66,999.00
2021-12-17 22:38:54,70.230614,-148.381897,-15886.53,36734.02,-79893.75,999.00
2021-12-17 22:40:04,70.230614,-148.381897,-15907.78,36760.22,-80018.49,999.00
2021-12-17 22:41:14,70.230614,-148.381897,-15862.39,36774.57,-79738.26,999.00
2021-12-17 22:42:24,70.230614,-148.381897,-15787.03,36763.26,-79783.02,999.00
2021-12-17 22:43:34,70.230614,-148.381897,-15819.96,36903.61,-79954.28,999.00
2021-12-17 22:44:44,70.230614,-148.381897,-15900.65,36835.67,-79708.59,999.00
2021-12-17 22:45:54,70.230614,-148.381897,-15925.10,36951.70,-79834.73,999.00
2021-12-17 22:47:04,70.230614,-148.381897,-15977.38,36852.69,-79727.87,999.00
2021-12-17 22:48:14,70.230614,-148.381897,-15934.74,36857.13,-79756.91,999.00
2021-12-17 22:49:24,70.230614,-148.381897,-16041.87,36867.82,-80029.16,999.00
2021-12-17 22:50:34,70.230614,-148.381897,-16087.46,36692.77,-79865.77,999.00
2021-12-17 22:51:44,70.230614,-148.381897,-16033.53,36637.44,-80127.88,999.00
2021-12-17 22:52:54,70.230614,-148.381897,-16064.50,36645.16,-79989.12,999.00
2021-12-17 22:54:04,70.230614,-148.381897,-15915.56,36722.50,-79915.92,999.00
2021-12-17 22:55:14,70.230614,-148.381897,-15995.40,36776.26,-79971.87,999.00
2021-12-17 22:56:24,70.230614,-148.381897,-16093.10,36733.48,-79901.04,999.00
2021-12-17 22:57:34,70.230614,-148.381897,-16242.87,36655.86,-79828.41,999.00
2021-12-17 22:58:44,70.230614,-148.381897,-16170.96,36619.64,-80127.44,999.00
2021-12-17 22:59:54,70.230614,-148.381897,-16022.45,36751.08,-80162.32,999.00
2021-12-17 23:01:04,70.230614,-148.381897,-15787.42,36863.36,-80274.58,999.00
2021-12-17 23:02:14,70.230614,-148.381897,-16025.13,36841.60,-80067.24,999.00
2021-12-17 23:03:24,70.230614,-148.381897,-15961.38,36753.48,-79882.95,999.00
2021-12-17 23:04:34,70.230614,-148.381897,-15927.41,36879.17,-80059.65,999.00
2021-12-17 23:05:44,70.230614,-148.381897,-15949.53,36704.02,-79730.94,999.00
2021-12-17 23:06:54,70.230614,-148.381897,-16014.99,36687.51,-79847.99,999.00
2021-12-17 23:08:04,70.230614,-148.381897,-15709.15,36842.54,-79852.26,999.00
2021-12-17 23:09:14,70.230614,-148.381897,-15809.30,36773.06,-79755.93,999.00
2021-12-17 23:10:24,70.230614,-148.381897,-15930.91,36807.43,-79911.33,999.00
2021-12-17 23:11:34,70.230614,-148.381897,-16022.75,36749.84,-80005.76,999.00
2021-12-17 23:12:44,70.230614,-148.381897,-16087.74,36747.71,-80162.10,999.00
2021-12-17 23:13:54,70.230614,-148.381897,-15954.55,36772.43,-80024.54,999.00
2021-12-17 23:15:04,70.230614,-148.381897,-15943.94,36858.88,-79942.09,999.00
2021-12-17 23:16:14,70.230614,-148.381897,-15814.74,36806.36,-79973.13,999.00
2021-12-17 23:17:24,70.230614,-148.381897,-15780.62,36697.11,-80092.55,999.00
2021-12-17 23:18:34,70.230614,-148.381897,-16045.11,36702.35,-80114.96,999.00
2021-12-17 23:19:44,70.230614,-148.381897,-16033.77,36677.79,-79827.26,999.00
2021-12-17 23:20:54,70.230614,-148.381897,-15901.42,36883.99,-79773.59,999.00
2021-12-17 23:22:04,70.230614,-148.381897,-16079.95,36701.30,-79660.23,999.00
2021-12-17 23:23:14,70.230614,-148.381897,-16106.73,36695.10,-79920.40,999.00
2021-12-17 23:24:24,70.230614,-148.381897,-16013.30,36722.46,-79571.00,999.00
2021-12-17 23:25:34,70.230614,-148.381897,-15863.35,36788.21,-79800.02,999.00
2021-12-17 23:26:44,70.230614,-148.381897,-15921.86,36659.49,-79648.01,999.00
2021-12-17 23:27:54,70.230614,-148.381897,-15766.03,36764.95,-79800.22,999.00
2021-12-17 23:29:04,70.230614,-148.381897,-15927.71,36669.84,-79573.95,999.00
2021-12-17 23:30:14,70.230614,-148.381897,-15878.38,36564.45,-79839.88,999.00
2021-12-17 23:31:24,70.230614,-148.381897,-15998.76,36629.55,-79859.51,999.00
2021-12-17 23:32:34,70.230614,-148.381897,-15986.04,36758.75,-79995.40,999.00
2021-12-17 23:33:44,70.230614,-148.381897,-16054.09,36748.34,-79818.95,999.00
2021-12-17 23:34:54,70.230614,-148.381897,-16061.84,36769.26,-79897.86,999.00
2021-12-17 23:36:04,70.230614,-148.381897,-15914.00,36944.68,-79867.65,999.00
2021-12-17 23:37:14,70.230614,-148.381897,-16068.07,36764.01,-80003.24,999.00
2021-12-17 23:38:24,70.230614,-148.381897,-15990.65,36630.93,-79957.41,999.00
2021-12-17 23:39:34,70.230614,-148.381897,-15968.74,36716.98,-79886.38,999.00
2021-12-17 23:40:44,70.230614,-148.381897,-15958.26,36831.61,-79910.04,999.00
2021-12-17 23:41:54,70.230614,-148.381897,-15813.74,36846.31,-79529.65,999.00
2021-12-17 23:43:04,70.230614,-148.381897,-16024.37,36851.49,-79563.88,999.00
2021-12-17 23:44:14,70.230614,-148.381897,-16022.91,36924.73,-79742.55,999.00
2021-12-17 23:45:24,70.230614,-148.381897,-15808.18,36919.22,-79821.38,999.00
2021-12-17 23:46:34,70.230614,-148.381897,-15909.72,36890.08,-79521.72,999.00
2021-12-17 23:47:44,70.230614,-148.381897,-15879.64,36952.48,-79654.00,999.00
2021-12-17 23:48:54,70.230614,-148.381897,-15717.71,36813.95,-79826.85,999.00
2021-12-17 23:50:04,70.230614,-148.381897,-15653.48,36933.58,-79726.28,999.00
2021-12-17 23:51:14,70.230614,-148.381897,-15842.39,37015.90,-79716.81,999.00
2021-12-17 23:52:24,70.230614,-148.381897,-15718.07,36936.52,-79553.78,999.00
2021-12-17 23:53:34,70.230614,-148.381897,-15712.71,36762.79,-79708.10,999.00
2021-12-17 23:54:44,70.230614,-148.381897,-15777.57,36852.70,-79705.96,999.00
2021-12-17 23:55:54,70.230614,-148.381897,-15834.63,36841.15,-79437.41,999.00
2021-12-17 23:57:04,70.230614,-148.381897,-15699.19,36843.62,-79632.66,999.00
2021-12-17 23:58:14,70.230614,-148.381897,-15839.21,36951.38,-79640.34,999.00
