Time (UTC),Latitude (deg),Longitude (deg), Total Field (nT), Horizontal Component (nT), Vertical Component (nT)
2022-03-14 05:40:24,39.992420,-105.247711,49295.64,19710.70,45183.50
2022-03-14 05:40:34,39.992424,-105.247704,49429.87,19514.71,45414.62
2022-03-14 05:40:44,39.992424,-105.247704,50176.73,20484.31,45804.99
2022-03-14 05:40:54,39.992424,-105.247704,49191.44,19390.17,45208.62
2022-03-14 05:41:04,39.992424,-105.247696,49055.98,19733.77,44911.77
2022-03-14 05:41:14,39.992432,-105.247704,49009.15,19266.85,45063.12
2022-03-14 05:41:24,39.992435,-105.247711,49331.58,20141.59,45032.45
2022-03-14 05:41:34,39.992435,-105.247711,49076.60,19589.73,44997.28
2022-03-14 05:41:44,39.992439,-105.247719,49024.13,19847.46,44826.82
2022-03-14 05:41:54,39.992439,-105.247704,48766.74,19308.98,44781.22
2022-03-14 05:42:04,39.992439,-105.247704,49136.46,19556.54,45076.96
2022-03-14 05:42:24,39.992435,-105.247704,48318.80,12225.48,46746.59
2022-03-14 05:42:34,39.992435,-105.247704,48404.73,12478.29,46768.69
2022-03-14 05:42:44,39.992435,-105.247704,48109.96,12567.92,46439.38
2022-03-14 05:42:54,39.992435,-105.247704,48424.48,12142.46,46877.40
2022-03-14 05:43:04,39.992435,-105.247704,48216.71,12345.58,46609.42
2022-03-14 05:43:14,39.992435,-105.247704,47615.32,12424.38,45965.78
2022-03-14 05:43:24,39.992435,-105.247704,47952.98,12452.84,46307.82
2022-03-14 05:43:34,39.992435,-105.247704,48596.25,12384.16,46991.79
2022-03-14 05:43:44,39.992435,-105.247704,47851.30,12450.91,46203.04
2022-03-14 05:43:54,39.992435,-105.247704,48423.66,12286.59,46838.99
2022-03-14 05:44:04,39.992435,-105.247704,48229.62,12417.78,46603.60
2022-03-14 05:44:14,39.992435,-105.247704,48246.98,12344.38,46641.05
2022-03-14 05:44:24,39.992435,-105.247704,47745.64,12659.63,46036.73
2022-03-14 05:44:34,39.992435,-105.247704,48577.77,12553.97,46927.58
2022-03-14 05:44:44,39.992435,-105.247704,48016.38,12358.62,46398.68
2022-03-14 05:44:54,39.992435,-105.247704,48011.93,12638.57,46318.59
2022-03-14 05:45:04,39.992435,-105.247704,48069.77,12471.97,46423.62
2022-03-14 05:45:14,39.992435,-105.247704,48106.39,12555.33,46439.08
2022-03-14 05:45:24,39.992435,-105.247704,48345.68,12496.91,46702.59
2022-03-14 05:45:34,39.992435,-105.247704,48348.01,12596.96,46678.12
2022-03-14 05:45:44,39.992435,-105.247704,48434.80,12672.41,46747.62
2022-03-14 05:45:54,39.992435,-105.247704,48779.81,12571.39,47132.05
2022-03-14 05:46:04,39.992435,-105.247704,48537.71,12607.85,46871.65
2022-03-14 05:46:14,39.992435,-105.247704,48221.71,12679.19,46524.95
2022-03-14 05:46:24,39.992435,-105.247704,48272.29,12769.10,46552.81
2022-03-14 05:46:34,39.992435,-105.247704,48126.81,12440.49,46491.12
2022-03-14 05:46:44,39.992435,-105.247704,48306.01,12506.34,46658.99
2022-03-14 05:46:54,39.992435,-105.247704,47730.07,12470.70,46072.13
2022-03-14 05:47:04,39.992435,-105.247704,45975.79,12239.14,44316.78
2022-03-14 05:47:14,39.992420,-105.247673,113053.77,2694.30,113021.66
2022-03-14 05:47:24,39.992420,-105.247673,112791.90,3865.78,112725.63
2022-03-14 05:47:34,39.992420,-105.247673,112777.53,4615.46,112683.05
2022-03-14 05:47:44,39.992420,-105.247673,112336.86,4666.19,112239.91
